Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "Pennsylvania|PA", Dealer Name: "Hunter Truck - Eau Claire, PA" has 12 vehicles
State: "Pennsylvania|PA", Dealer Name: "Opdyke Inc Truck & Equipment Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "TRI COUNTY CHRYSLER DODGE JEEP RAM" has 14 vehicles
State: "Pennsylvania|PA", Dealer Name: "Fyda Freightliner Barkeyville" has 5 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - READING, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Mercedes Benz of Fort Washington" has 20 vehicles
State: "Pennsylvania|PA", Dealer Name: "Town & Country Ford" has 23 vehicles
State: "Pennsylvania|PA", Dealer Name: "International Used Truck Center of Philadelphia" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Bergeys Truck Centers" has 27 vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Ford of Sharon" has 47 vehicles
State: "Pennsylvania|PA", Dealer Name: "Brian Hoskins Ford" has 45 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - ALLENTOWN, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - ALLENTOWN, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "McCandless Trailer Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - JESSUP, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - FREEDOM, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Routemaster, Ltd" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - BETHLEHEM, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - PITTSBURGH, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Fayette Trailers LLC - Athens" has 67 vehicles
State: "Pennsylvania|PA", Dealer Name: "Kulpmont Motors llc" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "AJ's Truck and Trailer Center Inc." has 221 vehicles
State: "Pennsylvania|PA", Dealer Name: "Burchfield Truck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Fayette Trailers LLC - McAlisterville" has 118 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - SPRINGFIELD, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "M&K Truck Centers - Pittsburgh" has 1 vehicles
State: "Pennsylvania|PA", Dealer Name: "Washington Ford" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - DUNCANSVILLE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Am Truck & Auto" has 1 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - AVONDALE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - KUTZTOWN, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Gordon Motor Cars, LLC" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "A & J Auto Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - CARLISLE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "ProTruck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Hunter Truck - Clearfield, PA" has 3 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - LEBANON, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Martin's Auto Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Switch-N-Go" has 63 vehicles
State: "Pennsylvania|PA", Dealer Name: "Hill International Trucks - Eighty Four" has 19 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - FAIRLESS HILLS, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Gator Truck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Best Used Trucks Of PA Inc" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - WILKES BARRE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Trucks and Parts of PA" has 8 vehicles
State: "Pennsylvania|PA", Dealer Name: "Isuzu Truck Of Lehigh Valley" has 36 vehicles
State: "Pennsylvania|PA", Dealer Name: "Utility Auto Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - SCRANTON, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Hunter Truck - Lancaster, PA" has 4 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - WHITE DEER, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Nye Motor Company" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - LANCASTER, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Rich's Automotive" has 10 vehicles
State: "Pennsylvania|PA", Dealer Name: "Jakobsen Motors" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Chrysler Dodge Jeep Ram of Robinson" has 17 vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Chrysler Dodge Jeep Ram of Grove City" has 26 vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Chrysler Dodge Jeep Ram of Moon" has 30 vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Chevrolet Cadillac of Grove City" has 48 vehicles
State: "Pennsylvania|PA", Dealer Name: "New Holland Auto Group" has 27 vehicles
State: "Pennsylvania|PA", Dealer Name: "#1 Cochran Ford" has 71 vehicles
State: "Pennsylvania|PA", Dealer Name: "Diehl Chrysler Dodge Jeep Ram of Butler" has 66 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - CLEARFIELD, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Springfield Ford" has 52 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - ERIE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - HARRISBURG, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "SAVAGE 61 CHRYSLER DODGE JEEP RAM" has 59 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - POTTSVILLE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Solomon Chrysler Jeep Dodge Ram" has 54 vehicles
State: "Pennsylvania|PA", Dealer Name: "Ray Price Ford" has 61 vehicles
State: "Pennsylvania|PA", Dealer Name: "Allegheny Ford Truck Sales" has 121 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - YORK, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Four Way Auto & Truck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Fred Beans Ford of Mechanicsburg" has 80 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - KING OF PRUSSIA, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Fred Beans Chevrolet" has 55 vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - POTTSTOWN,PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - MONROEVILLE, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Hunter Truck - Pocono, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Ryder Used Trucks in Allentown" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Tri Star Motors" has 60 vehicles
State: "Pennsylvania|PA", Dealer Name: "Auto Wholesalers Truck & Equipment Sales, Inc." has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - WEST MIFFLIN, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Tim Deluca's Sales & Service Inc." has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - BERWICK, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "TransEdge Truck Center" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Capacity of Philadelphia" has 18 vehicles
State: "Pennsylvania|PA", Dealer Name: "Global Emergency Vehicles" has 5 vehicles
State: "Pennsylvania|PA", Dealer Name: "TA Truck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "PENSKE USED TRUCKS - CLINTON, PA" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Rustler Sales and Service LLC" has 50 vehicles
State: "Pennsylvania|PA", Dealer Name: "Pilip Customs" has 2 vehicles
State: "Pennsylvania|PA", Dealer Name: "Elgin Truck Center" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Commercial Vehicle Center" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "East Penn Truck Equipment, Inc" has 7 vehicles
State: "Pennsylvania|PA", Dealer Name: "Butler Truck Sales" has no vehicles
State: "Pennsylvania|PA", Dealer Name: "Hunter Truck - Allentown, PA" has 3 vehicles
State: "Pennsylvania|PA", Dealer Name: "Maxwell Truck and Equipment" has 17 vehicles


 State Pennsylvania|PA, has Total Vehicles : 6749


Total No of Dealers: "10" exists in the state : "Rhode Island|RI"

State: "Rhode Island|RI", Dealer Name: "Michael J's Auto Sales" has no vehicles
State: "Rhode Island|RI", Dealer Name: "Ryder Used Trucks in Providence" has no vehicles
State: "Rhode Island|RI", Dealer Name: "Route 146 Auto" has no vehicles
State: "Rhode Island|RI", Dealer Name: "PENSKE USED TRUCKS - CRANSTON, RI" has no vehicles
State: "Rhode Island|RI", Dealer Name: "Mercedes Benz of Warwick" has 1 vehicles
State: "Rhode Island|RI", Dealer Name: "Grieco Toyota" has 22 vehicles
State: "Rhode Island|RI", Dealer Name: "Truck Solutions" has 5 vehicles
State: "Rhode Island|RI", Dealer Name: "Allegiance - Rhode Island" has 2 vehicles
State: "Rhode Island|RI", Dealer Name: "Rhode Island Truck Center" has 55 vehicles
State: "Rhode Island|RI", Dealer Name: "Viti Inc" has 54 vehicles


 State Rhode Island|RI, has Total Vehicles : 139


Total No of Dealers: "52" exists in the state : "South Carolina|SC"

State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - MOUNT PLEASANT, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "AA Truck Sales, LLC" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - SUMMERVILLE, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - NEWBERRY, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - LEXINGTON, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Shealy Truck Centers - Columbia" has 26 vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - LADSON, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Florence Truck Center" has 8 vehicles
State: "South Carolina|SC", Dealer Name: "Hudson Nissan of Charleston" has 17 vehicles
State: "South Carolina|SC", Dealer Name: "Lee Transport Equipment Inc" has no vehicles
State: "South Carolina|SC", Dealer Name: "Mercedes-Benz Van Center - Baker" has 266 vehicles
State: "South Carolina|SC", Dealer Name: "Team Dodge Ram of Myrtle Beach" has 217 vehicles
State: "South Carolina|SC", Dealer Name: "Truck Masters" has no vehicles
State: "South Carolina|SC", Dealer Name: "Rick Hendrick Chevrolet" has 121 vehicles
State: "South Carolina|SC", Dealer Name: "Classic Carolina Ford" has 31 vehicles
State: "South Carolina|SC", Dealer Name: "Paccar Financial" has no vehicles
State: "South Carolina|SC", Dealer Name: "McElveen Buick GMC" has 128 vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - FLORENCE, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - GREENVILLE, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Affordable Automobiles (SC)" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - GREER, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Richard Kay Superstore" has 145 vehicles
State: "South Carolina|SC", Dealer Name: "O. C. Welch Ford Lincoln Mercury" has 292 vehicles
State: "South Carolina|SC", Dealer Name: "Ravenel Ford" has 46 vehicles
State: "South Carolina|SC", Dealer Name: "Love Chevrolet and Hino" has 146 vehicles
State: "South Carolina|SC", Dealer Name: "Carolina International Trucks - Charleston" has 13 vehicles
State: "South Carolina|SC", Dealer Name: "Spartanburg Dodge" has 96 vehicles
State: "South Carolina|SC", Dealer Name: "Herndon Chevrolet" has 69 vehicles
State: "South Carolina|SC", Dealer Name: "Rick Hendrick Jeep Chrysler Dodge RAM Fiat North Charleston" has 134 vehicles
State: "South Carolina|SC", Dealer Name: "Rick Hendrick Dodge Chrysler Jeep Ram" has 154 vehicles
State: "South Carolina|SC", Dealer Name: "Jim Hudson Chevrolet" has 54 vehicles
State: "South Carolina|SC", Dealer Name: "Carolina International Trucks - Florence" has 9 vehicles
State: "South Carolina|SC", Dealer Name: "Excel Truck Group - Columbia" has 11 vehicles
State: "South Carolina|SC", Dealer Name: "Carolina International Trucks - Conway" has 1 vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - WEST COLUMBIA, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Atlanta Wrecker Sales" has 19 vehicles
State: "South Carolina|SC", Dealer Name: "Carolina International Trucks - Greer" has 6 vehicles
State: "South Carolina|SC", Dealer Name: "Baldwin Automotive" has no vehicles
State: "South Carolina|SC", Dealer Name: "H & H Trucks" has no vehicles
State: "South Carolina|SC", Dealer Name: "Ryder Used Trucks in Greenville" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - CONWAY, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Velocity Truck Center - Greenville" has 8 vehicles
State: "South Carolina|SC", Dealer Name: "Littlejohn Inc" has 9 vehicles
State: "South Carolina|SC", Dealer Name: "Carolina International Trucks - Columbia" has 20 vehicles
State: "South Carolina|SC", Dealer Name: "B & L Auto Sales" has no vehicles
State: "South Carolina|SC", Dealer Name: "Keith Buchanan Commercial Vehicle Sales" has 1 vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - ANDERSON, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Big Rig Solutions" has 4 vehicles
State: "South Carolina|SC", Dealer Name: "Shealy Truck Centers - Duncan" has no vehicles
State: "South Carolina|SC", Dealer Name: "PENSKE USED TRUCKS - SPARTANBURG, SC" has no vehicles
State: "South Carolina|SC", Dealer Name: "Cooper Motor Company" has 139 vehicles
State: "South Carolina|SC", Dealer Name: "Conway Ford Commercial" has 28 vehicles


 State South Carolina|SC, has Total Vehicles : 2218


Total No of Dealers: "8" exists in the state : "South Dakota|SD"

State: "South Dakota|SD", Dealer Name: "Towro Trailers" has 42 vehicles
State: "South Dakota|SD", Dealer Name: "Boyer Trucks - Sioux Falls" has 37 vehicles
State: "South Dakota|SD", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Sioux Falls" has 30 vehicles
State: "South Dakota|SD", Dealer Name: "North American Truck & Trailer, Inc." has 12 vehicles
State: "South Dakota|SD", Dealer Name: "Crawford Trucks & Equipment" has 18 vehicles
State: "South Dakota|SD", Dealer Name: "PENSKE USED TRUCKS - SIOUX FALLS, SD" has no vehicles
State: "South Dakota|SD", Dealer Name: "Truck World Inc" has no vehicles
State: "South Dakota|SD", Dealer Name: "WEST RIVER TRAILER SALES LLC" has 257 vehicles


 State South Dakota|SD, has Total Vehicles : 396


Total No of Dealers: "69" exists in the state : "Tennessee|TN"

State: "Tennessee|TN", Dealer Name: "Velocity Truck Centers - Kingsport" has 7 vehicles
State: "Tennessee|TN", Dealer Name: "Beaty Chevrolet" has 331 vehicles
State: "Tennessee|TN", Dealer Name: "Perkins Motorplex - Jackson TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - ASHLAND CITY, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Darrell Waltrip Buick GMC" has 101 vehicles
State: "Tennessee|TN", Dealer Name: "CommTrans" has 5 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - SMYRNA, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Fleet Equipment Llc" has 11 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - COLUMBIA, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "R Enterprises, LLC" has 1 vehicles
State: "Tennessee|TN", Dealer Name: "Nichols Fleet Equipment Inc." has 6 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - LA VERGNE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Autow Nationalease Truck Rental & Leasing" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - COOKEVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - NASHVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Ryder Used Trucks in Knoxville" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - NASHVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - CLARKSVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - NASHVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "MHC Kenworth - Kingsport" has 4 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - JACKSON, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - BLOUNTVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Rush Truck Centers - Memphis" has 65 vehicles
State: "Tennessee|TN", Dealer Name: "Allstar Truck & Equipment" has no vehicles
State: "Tennessee|TN", Dealer Name: "Jason Lewis Chrysler Dodge Jeep Ram" has 84 vehicles
State: "Tennessee|TN", Dealer Name: "Perkins Motorplex - Madison TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Homer Skelton Chrysler Dodge Jeep Ram of Millington" has 80 vehicles
State: "Tennessee|TN", Dealer Name: "Sanford Trailer Sales" has 267 vehicles
State: "Tennessee|TN", Dealer Name: "West Chevrolet" has 44 vehicles
State: "Tennessee|TN", Dealer Name: "Mercedes-Benz of Knoxville" has 90 vehicles
State: "Tennessee|TN", Dealer Name: "McMahon Truck Centers of Nashville" has 40 vehicles
State: "Tennessee|TN", Dealer Name: "International Used Truck Center of Nashville" has no vehicles
State: "Tennessee|TN", Dealer Name: "Thompson Truck Group" has 6 vehicles
State: "Tennessee|TN", Dealer Name: "Don Baskin Truck Sales, LLC" has 28 vehicles
State: "Tennessee|TN", Dealer Name: "Capital City Truck Sales" has no vehicles
State: "Tennessee|TN", Dealer Name: "Franklin CDJR" has 193 vehicles
State: "Tennessee|TN", Dealer Name: "Tri-State Truck Center" has 2 vehicles
State: "Tennessee|TN", Dealer Name: "Freeland Ram Commercial - Nashville" has 768 vehicles
State: "Tennessee|TN", Dealer Name: "Gowen Wholesale Auto" has no vehicles
State: "Tennessee|TN", Dealer Name: "MHC Kenworth - Nashville" has 14 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - CLEVELAND, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - MOUNT JULIET, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Snider Equipment" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - CHATTANOOGA, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Eddie's Auto Sales" has no vehicles
State: "Tennessee|TN", Dealer Name: "Reeder Chevrolet" has 77 vehicles
State: "Tennessee|TN", Dealer Name: "Walker's Trailer Sales LLC" has 92 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - MEMPHIS, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - KNOXVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - NASHVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Rush Truck Centers - Memphis Used" has no vehicles
State: "Tennessee|TN", Dealer Name: "TAG Truck Center" has 22 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - MURFREESBORO, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "HD Trucks & Equip LLC" has no vehicles
State: "Tennessee|TN", Dealer Name: "Lee-Smith, Inc." has 40 vehicles
State: "Tennessee|TN", Dealer Name: "LMI, LLC" has 323 vehicles
State: "Tennessee|TN", Dealer Name: "Freeland Chevrolet Superstore" has 724 vehicles
State: "Tennessee|TN", Dealer Name: "Tri-Star Truck and Equipment" has no vehicles
State: "Tennessee|TN", Dealer Name: "Chattanooga Trailer & Rental" has 433 vehicles
State: "Tennessee|TN", Dealer Name: "MHC Kenworth - Memphis" has 11 vehicles
State: "Tennessee|TN", Dealer Name: "Ryder Used Trucks in Memphis" has no vehicles
State: "Tennessee|TN", Dealer Name: "Rush Truck Centers - Nashville" has 22 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - MEMPHIS, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - MORRISTOWN, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "PENNER TRAILER SALES" has 111 vehicles
State: "Tennessee|TN", Dealer Name: "PENSKE USED TRUCKS - KNOXVILLE, TN" has no vehicles
State: "Tennessee|TN", Dealer Name: "Crown Chrysler Dodge Jeep Ram" has 45 vehicles
State: "Tennessee|TN", Dealer Name: "North Knoxville CDJR" has 50 vehicles
State: "Tennessee|TN", Dealer Name: "Ryder Used Trucks in Nashville" has no vehicles


 State Tennessee|TN, has Total Vehicles : 4097


Total No of Dealers: "307" exists in the state : "Texas|TX"

State: "Texas|TX", Dealer Name: "Crazy Trailer World - Houston" has 295 vehicles
State: "Texas|TX", Dealer Name: "Worldwide Trucks" has no vehicles
State: "Texas|TX", Dealer Name: "Rush Truck Centers - Dallas Light & Medium Duty" has 355 vehicles
State: "Texas|TX", Dealer Name: "Irving Motors Corp" has no vehicles
State: "Texas|TX", Dealer Name: "PENSKE USED TRUCKS - CARROLLTON, TX" has no vehicles
State: "Texas|TX", Dealer Name: "PENSKE USED TRUCKS - ABILENE, TX" has no vehicles
State: "Texas|TX", Dealer Name: "PENSKE USED TRUCKS - PLANO, TX" has no vehicles
State: "Texas|TX", Dealer Name: "Dodge City Of McKinney" has 83 vehicles
State: "Texas|TX", Dealer Name: "Huffines Chevrolet - Lewisville" has 274 vehicles
State: "Texas|TX", Dealer Name: "Sam Pack's Five Star Ford" has 316 vehicles
State: "Texas|TX", Dealer Name: "PENSKE USED TRUCKS - HOUSTON, TX" has no vehicles
State: "Texas|TX", Dealer Name: "HM Dodd Motor Company" has no vehicles
State: "Texas|TX", Dealer Name: "Park Place Sprinter Arlington" has 32 vehicles
State: "Texas|TX", Dealer Name: "Huffines Dodge Lewisville" has 99 vehicles
State: "Texas|TX", Dealer Name: "Classic Chevrolet" has 1600 vehicles
State: "Texas|TX", Dealer Name: "David McDavid Ford" has 502 vehicles
State: "Texas|TX", Dealer Name: "Longview Truck Center" has no vehicles
State: "Texas|TX", Dealer Name: "Custom Truck One Source - Fort Worth II" has 1039 vehicles
State: "Texas|TX", Dealer Name: "PENSKE USED TRUCKS - FORT WORTH, TX" has no vehicles
State: "Texas|TX", Dealer Name: "AUTONATION CHRYSLER JEEP DODGE RAM" has 216 vehicles
State: "Texas|TX", Dealer Name: "Five Star Ford Commercial" has 376 vehicles
State: "Texas|TX", Dealer Name: "James Wood AutoPark Commercial Truck Center" has 313 vehicles
State: "Texas|TX", Dealer Name: "James Wood Decatur" has 403 vehicles
State: "Texas|TX", Dealer Name: "Helfman Dodge Chrysler Jeep" has 101 vehicles
State: "Texas|TX", Dealer Name: "Autonation Chrysler Dodge Jeep Ram Houston" has 64 vehicles
State: "Texas|TX", Dealer Name: "Texas Truck Center" has 91 vehicles
State: "Texas|TX", Dealer Name: "Lone Star Chevrolet" has 517 vehicles
State: "Texas|TX", Dealer Name: "Foundation Commercial Fleet" has 972 vehicles
State: "Texas|TX", Dealer Name: "Trucks and Parts of Texas" has no vehicles
State: "Texas|TX", Dealer Name: "Rush Truck Centers - El Paso" has 18 vehicles
State: "Texas|TX", Dealer Name: "Twin City Motors" has no vehicles
State: "Texas|TX", Dealer Name: "Everest Motors Inc" has no vehicles
State: "Texas|TX", Dealer Name: "Hillsboro Ford" has 31 vehicles
State: "Texas|TX", Dealer Name: "Lonestar Bucket Trucks" has no vehicles
State: "Texas|TX", Dealer Name: "Art's Trucks & Equipment" has 17 vehicles
State: "Texas|TX", Dealer Name: "Texarkana : Lonestar Truck Group" has 104 vehicles
State: "Texas|TX", Dealer Name: "San Angelo : Lonestar Truck Group" has 3 vehicles
State: "Texas|TX", Dealer Name: "DKR, Inc." has no vehicles
State: "Texas|TX", Dealer Name: "B Truckr Truck Sales & More" has no vehicles
State: "Texas|TX", Dealer Name: "HOLT TRUCK CENTERS - San Antonio" has 41 vehicles
State: "Texas|TX", Dealer Name: "Oliver Truck Center - Houston" has no vehicles
State: "Texas|TX", Dealer Name: "D&M Allied" has no vehicles
State: "Texas|TX", Dealer Name: "Silsbee Ford" has 9 vehicles
State: "Texas|TX", Dealer Name: "Century Trucks & Vans" has no vehicles
State: "Texas|TX", Dealer Name: "Down South Equipment Sales LLC" has no vehicles
State: "Texas|TX", Dealer Name: "Knapp Chevrolet" has 158 vehicles
State: "Texas|TX", Dealer Name: "Russell & Smith Ford" has 174 vehicles
State: "Texas|TX", Dealer Name: "Mercedes Benz of The Woodlands" has 106 vehicles
State: "Texas|TX", Dealer Name: "Huffines Chevrolet Plano" has 59 vehicles
State: "Texas|TX", Dealer Name: "RLB Investments" has no vehicles
State: "Texas|TX", Dealer Name: "Custom Truck One Source - Humble" has 1040 vehicles
State: "Texas|TX", Dealer Name: "Autonation Chrysler Dodge Jeep Ram Spring" has 416 vehicles
State: "Texas|TX", Dealer Name: "Ancira Chrysler Jeep Dodge Ram" has 425 vehicles
State: "Texas|TX", Dealer Name: "DEMONTROND AUTO COUNTRY" has 114 vehicles
State: "Texas|TX", Dealer Name: "Bayshore Chrysler Jeep Dodge Ram" has 119 vehicles
State: "Texas|TX", Dealer Name: "Southfork Chrysler Dodge Jeep Ram" has 242 vehicles
State: "Texas|TX", Dealer Name: "Brown Dodge Chrysler Jeep dba Brown Ram Truck Ctr" has 60 vehicles
State: "Texas|TX", Dealer Name: "Northside Chevrolet" has 115 vehicles
State: "Texas|TX", Dealer Name: "San Antonio Dodge Chrylser Jeep Ram" has 245 vehicles
State: "Texas|TX", Dealer Name: "BERT OGDEN CHRYSLER DODGE JEEP RAM" has 147 vehicles
State: "Texas|TX", Dealer Name: "BIG STAR CHRYSLER JEEP DODGE" has 108 vehicles
State: "Texas|TX", Dealer Name: "LITHIA CHRYSLER JEEP DODGE OF CORPUS CHRISTI" has 68 vehicles
State: "Texas|TX", Dealer Name: "Red McCombs Ford" has 126 vehicles
State: "Texas|TX", Dealer Name: "Don Hewlett Chevrolet Buick, Inc." has 59 vehicles
State: "Texas|TX", Dealer Name: "Apple Leasing - Commercial Division" has no vehicles
